holdout_session,n_train_sessions,combo_index,train_sessions,model_seed,commit_sha,n_training_windows,n_training_stop,n_training_walk,selected_features,raw_accuracy,raw_balanced_accuracy,accuracy,balanced_accuracy,walk_recall,stop_recall,walk_support,stop_support,n_windows,dominant_fraction,collapse_warning
ses-02,1,3,ses-07,2026,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,13;67;40;10;64;82;84;37;20;79;52;1;6;2;11;74;25;66;43;83;73;47;19;72;33,0.8806122448979592,0.8721676367455189,0.8857142857142857,0.8773428739253484,0.8442622950819673,0.9104234527687296,366,614,980,0.6285714285714286,False
ses-02,2,1,ses-03;ses-04,42,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;67;10;84;82;21;19;18;1;6;2;11;23;75;64;83;48;15;52;73;72;37;26;20,0.8979591836734694,0.9042202879977217,0.9010204081632653,0.9061114967693704,0.9262295081967213,0.8859934853420195,366,614,980,0.5826530612244898,False
ses-02,2,1,ses-03;ses-04,123,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;67;10;84;82;21;19;18;1;6;2;11;23;75;64;83;48;15;52;73;72;37;26;20,0.8979591836734694,0.9042202879977217,0.9010204081632653,0.9061114967693704,0.9262295081967213,0.8859934853420195,366,614,980,0.5826530612244898,False
ses-02,2,1,ses-03;ses-04,2026,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;67;10;84;82;21;19;18;1;6;2;11;23;75;64;83;48;15;52;73;72;37;26;20,0.8979591836734694,0.9042202879977217,0.9010204081632653,0.9061114967693704,0.9262295081967213,0.8859934853420195,366,614,980,0.5826530612244898,False
ses-02,2,2,ses-04;ses-05,42,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;67;10;52;64;37;83;82;84;25;19;39;18;20;66;79;21;6;1;46;45;73;72;11,0.9010204081632653,0.9016971930011926,0.9081632653061225,0.9101564585892028,0.9180327868852459,0.9022801302931596,366,614,980,0.5959183673469388,False
ses-02,2,2,ses-04;ses-05,123,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;67;10;52;64;37;83;82;84;25;19;39;18;20;66;79;21;6;1;46;45;73;72;11,0.9010204081632653,0.9016971930011926,0.9081632653061225,0.9101564585892028,0.9180327868852459,0.9022801302931596,366,614,980,0.5959183673469388,False
ses-02,2,2,ses-04;ses-05,2026,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;67;10;52;64;37;83;82;84;25;19;39;18;20;66;79;21;6;1;46;45;73;72;11,0.9010204081632653,0.9016971930011926,0.9081632653061225,0.9101564585892028,0.9180327868852459,0.9022801302931596,366,614,980,0.5959183673469388,False
ses-02,2,3,ses-04;ses-08,42,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;10;67;82;84;6;1;2;11;20;19;18;64;37;52;83;15;47;26;73;72;74;3;46,0.8612244897959184,0.8566953240419359,0.8653061224489796,0.8605044410031861,0.8415300546448088,0.8794788273615635,366,614,980,0.610204081632653,False
ses-02,2,3,ses-04;ses-08,123,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;10;67;82;84;6;1;2;11;20;19;18;64;37;52;83;15;47;26;73;72;74;3;46,0.8612244897959184,0.8566953240419359,0.8653061224489796,0.8605044410031861,0.8415300546448088,0.8794788273615635,366,614,980,0.610204081632653,False
ses-02,2,3,ses-04;ses-08,2026,25047c459adb0205705cd17abc37bdd952343e45,138,90,48,13;40;10;67;82;84;6;1;2;11;20;19;18;64;37;52;83;15;47;26;73;72;74;3;46,0.8612244897959184,0.8566953240419359,0.8653061224489796,0.8605044410031861,0.8415300546448088,0.8794788273615635,366,614,980,0.610204081632653,False
ses-02,4,1,ses-01;ses-03;ses-04;ses-07,42,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;40;67;84;82;10;1;6;19;18;2;11;64;83;73;37;9;72;15;43;23;26;74;3;52,0.8979591836734694,0.895391680461366,0.9010204081632653,0.8994900411171036,0.8934426229508197,0.9055374592833876,366,614,980,0.6071428571428571,False
ses-02,4,1,ses-01;ses-03;ses-04;ses-07,123,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;40;67;84;82;10;1;6;19;18;2;11;64;83;73;37;9;72;15;43;23;26;74;3;52,0.8979591836734694,0.895391680461366,0.9010204081632653,0.8994900411171036,0.8934426229508197,0.9055374592833876,366,614,980,0.6071428571428571,False
ses-02,4,1,ses-01;ses-03;ses-04;ses-07,2026,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;40;67;84;82;10;1;6;19;18;2;11;64;83;73;37;9;72;15;43;23;26;74;3;52,0.8979591836734694,0.895391680461366,0.9010204081632653,0.8994900411171036,0.8934426229508197,0.9055374592833876,366,614,980,0.6071428571428571,False
ses-02,4,2,ses-01;ses-05;ses-06;ses-08,42,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;40;67;82;84;10;1;6;19;83;18;2;11;64;23;37;9;15;3;26;43;46;45;73;79,0.8683673469387755,0.8745349851373241,0.8724489795918368,0.8788958900695965,0.9043715846994536,0.8534201954397395,366,614,980,0.5704081632653061,False
ses-02,4,2,ses-01;ses-05;ses-06;ses-08,123,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;40;67;82;84;10;1;6;19;83;18;2;11;64;23;37;9;15;3;26;43;46;45;73;79,0.8683673469387755,0.8745349851373241,0.8724489795918368,0.8788958900695965,0.9043715846994536,0.8534201954397395,366,614,980,0.5704081632653061,False
ses-02,4,2,ses-01;ses-05;ses-06;ses-08,2026,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;40;67;82;84;10;1;6;19;83;18;2;11;64;23;37;9;15;3;26;43;46;45;73;79,0.8683673469387755,0.8745349851373241,0.8724489795918368,0.8788958900695965,0.9043715846994536,0.8534201954397395,366,614,980,0.5704081632653061,False
ses-02,4,3,ses-03;ses-05;ses-06;ses-08,42,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;10;40;82;67;84;1;6;19;18;2;11;64;23;37;26;20;52;73;72;83;22;3;15;9,0.8520408163265306,0.8581949413502785,0.8551020408163266,0.8611897260639718,0.8852459016393442,0.8371335504885994,366,614,980,0.5673469387755102,False
ses-02,4,3,ses-03;ses-05;ses-06;ses-08,123,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;10;40;82;67;84;1;6;19;18;2;11;64;23;37;26;20;52;73;72;83;22;3;15;9,0.8520408163265306,0.8581949413502785,0.8551020408163266,0.8611897260639718,0.8852459016393442,0.8371335504885994,366,614,980,0.5673469387755102,False
ses-02,4,3,ses-03;ses-05;ses-06;ses-08,2026,25047c459adb0205705cd17abc37bdd952343e45,276,180,96,13;10;40;82;67;84;1;6;19;18;2;11;64;23;37;26;20;52;73;72;83;22;3;15;9,0.8520408163265306,0.8581949413502785,0.8551020408163266,0.8611897260639718,0.8852459016393442,0.8371335504885994,366,614,980,0.5673469387755102,False
ses-02,7,1,ses-01;ses-03;ses-04;ses-05;ses-06;ses-07;ses-08,42,25047c459adb0205705cd17abc37bdd952343e45,483,315,168,13;40;67;10;82;84;1;6;19;18;64;2;11;83;37;23;73;26;20;72;52;15;3;79;9,0.8826530612244898,0.8848320606610776,0.8938775510204081,0.8965486552393158,0.907103825136612,0.8859934853420195,366,614,980,0.5897959183673469,False
ses-02,7,1,ses-01;ses-03;ses-04;ses-05;ses-06;ses-07;ses-08,123,25047c459adb0205705cd17abc37bdd952343e45,483,315,168,13;40;67;10;82;84;1;6;19;18;64;2;11;83;37;23;73;26;20;72;52;15;3;79;9,0.8826530612244898,0.8848320606610776,0.8938775510204081,0.8965486552393158,0.907103825136612,0.8859934853420195,366,614,980,0.5897959183673469,False
ses-02,7,1,ses-01;ses-03;ses-04;ses-05;ses-06;ses-07;ses-08,2026,25047c459adb0205705cd17abc37bdd952343e45,483,315,168,13;40;67;10;82;84;1;6;19;18;64;2;11;83;37;23;73;26;20;72;52;15;3;79;9,0.8826530612244898,0.8848320606610776,0.8938775510204081,0.8965486552393158,0.907103825136612,0.8859934853420195,366,614,980,0.5897959183673469,False
ses-03,1,1,ses-02,42,25047c459adb0205705cd17abc37bdd952343e45,69,45,24,84;13;83;82;40;67;19;18;23;10;6;1;75;21;2;11;22;26;48;15;3;81;17;5;7,0.8969387755102041,0.8918184083586977,0.9091836734693878,0.9054529111265375,0.8907103825136612,0.9201954397394136,366,614,980,0.6173469387755102,False
